[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
[6/10/23, 09:29:23] Хабиб Вентиляция : Ассаламу алайкум
[6/10/23, 09:29:45] Хабиб Вентиляция : Это система че то не идет
[6/10/23, 09:29:54] Хабиб Вентиляция : Чуть переиграть нужно
‎[6/10/23, 09:59:09] investklimat: ‎<прикреплено: 00000296-AUDIO-2023-06-10-09-59-08.opus>
[6/10/23, 11:47:53] Хабиб Вентиляция : Болты гайки перфолента скотч взял
[6/10/23, 11:50:50] Хабиб Вентиляция : Осталось мелочь
‎[6/10/23, 11:53:09] investklimat: ‎<прикреплено: 00000299-AUDIO-2023-06-10-11-53-08.opus>
‎[6/10/23, 12:01:35] Хабиб Вентиляция : ‎<прикреплено: 00000300-AUDIO-2023-06-10-12-01-35.opus>
‎[6/10/23, 12:02:34] investklimat: ‎<прикреплено: 00000301-AUDIO-2023-06-10-12-02-33.opus>
‎[6/10/23, 12:03:50] Хабиб Вентиляция : ‎<прикреплено: 00000302-AUDIO-2023-06-10-12-03-50.opus>
‎[6/10/23, 12:27:38] investklimat: Документ-2023-06-10-122731.pdf • ‎1 страница ‎<прикреплено: 00000303-Документ-2023-06-10-122731.pdf>
[6/10/23, 13:40:05] Хабиб Вентиляция : Эти тоже готовы
‎[6/10/23, 13:40:22] Хабиб Вентиляция : ‎<прикреплено: 00000306-PHOTO-2023-06-10-13-40-22.jpg>
[6/10/23, 13:44:05] Хабиб Вентиляция : Замечание есть ?
‎[6/10/23, 13:44:40] investklimat: ‎<прикреплено: 00000308-AUDIO-2023-06-10-13-44-39.opus>
[6/10/23, 13:45:14] Хабиб Вентиляция : Раьота ещё есть?
‎[6/10/23, 13:47:56] investklimat: ‎<прикреплено: 00000310-AUDIO-2023-06-10-13-47-56.opus>
[6/10/23, 13:49:10] Хабиб Вентиляция : Не большие?
[6/10/23, 13:51:44] investklimat: Нет. Квадратов 180
[6/10/23, 14:01:29] Хабиб Вентиляция : А тут по квадратуре сколько примерно?
‎[6/10/23, 14:02:06] investklimat: ‎<прикреплено: 00000314-AUDIO-2023-06-10-14-02-05.opus>
‎[6/10/23, 14:43:54] Хабиб Вентиляция : ‎<прикреплено: 00000315-PHOTO-2023-06-10-14-43-54.jpg>
[6/10/23, 14:43:59] Хабиб Вентиляция : Этих нету
[6/10/23, 14:44:02] Хабиб Вентиляция : Врезок
[6/10/23, 14:53:54] Хабиб Вентиляция : Этот ВЕ
[6/10/23, 14:54:00] Хабиб Вентиляция : Получается?
‎[6/10/23, 14:55:16] Хабиб Вентиляция : ‎<прикреплено: 00000323-AUDIO-2023-06-10-14-55-16.opus>
[6/10/23, 14:56:14] Хабиб Вентиляция : Спецификация тое
‎[6/10/23, 15:15:22] Хабиб Вентиляция : ‎<прикреплено: 00000328-PHOTO-2023-06-10-15-15-22.jpg>
[6/10/23, 15:15:35] Хабиб Вентиляция : Такой взять ?
[6/10/23, 15:15:39] Хабиб Вентиляция : Закончился?
[6/10/23, 16:03:36] Хабиб Вентиляция : К потолку принимаются?
[6/10/23, 16:03:52] Хабиб Вентиляция : Прижимаются?
‎[6/10/23, 16:06:12] Хабиб Вентиляция : ‎<прикреплено: 00000333-PHOTO-2023-06-10-16-06-12.jpg>
‎[6/10/23, 16:13:15] Хабиб Вентиляция : ‎<прикреплено: 00000334-PHOTO-2023-06-10-16-13-15.jpg>
[6/10/23, 16:18:24] Хабиб Вентиляция : Я это понял
‎[6/10/23, 16:18:40] investklimat: ‎<прикреплено: 00000339-AUDIO-2023-06-10-16-18-39.opus>
[6/10/23, 16:18:42] Хабиб Вентиляция : Имею в виду ушками?или отходами 75град
‎[6/10/23, 16:18:59] investklimat: ‎<прикреплено: 00000341-AUDIO-2023-06-10-16-18-58.opus>
[6/10/23, 16:19:47] Хабиб Вентиляция : 3штук есть утки
‎[6/10/23, 16:20:07] Хабиб Вентиляция : ‎<прикреплено: 00000343-PHOTO-2023-06-10-16-20-07.jpg>
[6/10/23, 17:38:42] Хабиб Вентиляция : 62 от пола получается
‎[6/10/23, 17:39:26] investklimat: ‎<прикреплено: 00000346-AUDIO-2023-06-10-17-39-25.opus>
‎[6/11/23, 10:06:11] Хабиб Вентиляция : ‎<прикреплено: 00000347-PHOTO-2023-06-11-10-06-11.jpg>
[6/11/23, 10:06:40] Хабиб Вентиляция : Ассаламу алайкум
[6/11/23, 10:08:30] Хабиб Вентиляция : Пенафол закончился
[6/11/23, 10:12:09] Хабиб Вентиляция : 2 рулона которые на первом было
[6/11/23, 10:12:24] Хабиб Вентиляция : И пол рулона с 5 этажа тоже использовали
‎[6/11/23, 10:16:57] investklimat: ‎<прикреплено: 00000352-AUDIO-2023-06-11-10-16-56.opus>
‎[6/11/23, 10:17:07] investklimat: ‎<прикреплено: 00000353-AUDIO-2023-06-11-10-17-07.opus>
‎[6/11/23, 10:24:23] investklimat: Документ-2023-06-11-102417.pdf • ‎1 страница ‎<прикреплено: 00000355-Документ-2023-06-11-102417.pdf>
‎[6/11/23, 10:25:09] Хабиб Вентиляция : ‎<прикреплено: 00000356-AUDIO-2023-06-11-10-25-09.opus>
‎[6/11/23, 10:28:45] investklimat: ‎<прикреплено: 00000358-AUDIO-2023-06-11-10-28-45.opus>
‎[6/11/23, 10:32:05] Хабиб Вентиляция : ‎<прикреплено: 00000359-AUDIO-2023-06-11-10-32-05.opus>
[6/11/23, 10:34:45] investklimat: 👍
‎[6/11/23, 10:35:11] investklimat: ‎<прикреплено: 00000363-AUDIO-2023-06-11-10-35-10.opus>
[6/11/23, 10:36:52] Хабиб Вентиляция : Замечание есть?
[6/11/23, 10:37:51] Хабиб Вентиляция : По времени как у тебя
[6/11/23, 10:38:01] Хабиб Вентиляция : Один объект есть в каспийске
[6/11/23, 10:38:19] Хабиб Вентиляция : Надо по считать сумму озвучил
[6/11/23, 10:39:27] Хабиб Вентиляция : Озвучит
‎[6/11/23, 10:41:02] investklimat: ‎<прикреплено: 00000370-AUDIO-2023-06-11-10-41-01.opus>
‎[6/11/23, 10:41:49] Хабиб Вентиляция : ‎<прикреплено: 00000371-AUDIO-2023-06-11-10-41-49.opus>
‎[6/11/23, 10:43:27] investklimat: ‎<прикреплено: 00000372-AUDIO-2023-06-11-10-43-26.opus>
‎[6/11/23, 11:06:04] Хабиб Вентиляция : ‎<прикреплено: 00000376-AUDIO-2023-06-11-11-06-04.opus>
‎[6/11/23, 11:33:17] investklimat: ‎<прикреплено: 00000380-AUDIO-2023-06-11-11-33-16.opus>
‎[6/11/23, 11:43:13] investklimat: ‎<прикреплено: 00000382-AUDIO-2023-06-11-11-43-12.opus>
‎[6/11/23, 12:06:28] investklimat: ‎<прикреплено: 00000383-AUDIO-2023-06-11-12-06-27.opus>
[6/11/23, 12:27:12] Хабиб Вентиляция : Нету там
[6/11/23, 12:58:19] Хабиб Вентиляция : Не заказал трубу?
[6/11/23, 12:58:35] investklimat: Заказал
[6/11/23, 12:59:25] investklimat: +7 928 050-91-47 Микаил Цех Хасавюрт
[6/11/23, 12:59:42] Хабиб Вентиляция : Переиграли
[6/11/23, 12:59:55] investklimat: Как?
[6/11/23, 13:23:38] Хабиб Вентиляция : Сегодня домой приедем
[6/11/23, 13:23:47] Хабиб Вентиляция : На соболезнования надо
‎[6/11/23, 13:26:12] investklimat: ‎<прикреплено: 00000392-AUDIO-2023-06-11-13-26-12.opus>
[6/11/23, 13:26:29] Хабиб Вентиляция : После работы
[6/11/23, 13:26:32] Хабиб Вентиляция : Вечером
[6/11/23, 13:27:06] investklimat: С этой что решили?
[6/11/23, 13:27:59] Хабиб Вентиляция : Поломал
‎[6/11/23, 13:29:07] investklimat: ‎<прикреплено: 00000397-AUDIO-2023-06-11-13-29-06.opus>
‎[6/11/23, 13:29:56] Хабиб Вентиляция : ‎<прикреплено: 00000398-AUDIO-2023-06-11-13-29-56.opus>
‎[6/11/23, 13:30:37] Хабиб Вентиляция : ‎<прикреплено: 00000399-AUDIO-2023-06-11-13-30-37.opus>
